ablation,attack_instances,effect_attack_success_rate,failed_fault_domain_classes
Full,128,0.0,0
NoRootAuthentication,128,0.125,16
NoComponentRoleBinding,128,0.03125,4
NoContractConformance,128,0.1875,24
NoTransformWitnessValidation,128,0.0625,8
NoReleaseValidation,128,0.09375,12
NoFieldProvenance,128,0.1875,24
NoIdentityBinding,128,0.03125,4
NoAuthorityMonotonicity,128,0.0,0
NoDelegationMonotonicity,128,0.03125,4
NoTaintMonotonicity,128,0.03125,4
NoPolicyFreshness,128,0.03125,4
NoContextCommitment,128,0.03125,4
NoActionBinding,128,0.03125,4
NoSubjectBinding,128,0.03125,4
NoRevocationRecheck,128,0.03125,4
NoReplayProtection,128,0.0625,8
IncompleteMediation,128,0.1875,24
