system,fault,instances,domains,effect_asr,lifecycle_accuracy
PassThrough,UNTRUSTED_FIELD_BINDING,80,4,1.0,0.0
ToolAllowlist,UNTRUSTED_FIELD_BINDING,80,4,1.0,0.0
GatewayPolicy,UNTRUSTED_FIELD_BINDING,80,4,1.0,0.0
ProvenanceGateway,UNTRUSTED_FIELD_BINDING,80,4,0.0,1.0
EffectBoundPermit,UNTRUSTED_FIELD_BINDING,80,4,1.0,0.0
Gateway+Finality,UNTRUSTED_FIELD_BINDING,80,4,0.0,1.0
CONTINUITY,UNTRUSTED_FIELD_BINDING,80,4,0.0,1.0
PassThrough,DROP_PROVENANCE,80,4,1.0,0.0
ToolAllowlist,DROP_PROVENANCE,80,4,1.0,0.0
GatewayPolicy,DROP_PROVENANCE,80,4,1.0,0.0
ProvenanceGateway,DROP_PROVENANCE,80,4,1.0,0.0
EffectBoundPermit,DROP_PROVENANCE,80,4,1.0,0.0
Gateway+Finality,DROP_PROVENANCE,80,4,1.0,0.0
CONTINUITY,DROP_PROVENANCE,80,4,0.0,1.0
PassThrough,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
ToolAllowlist,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
GatewayPolicy,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
ProvenanceGateway,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
EffectBoundPermit,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
Gateway+Finality,PROVENANCE_VALUE_SUBSTITUTION,80,4,1.0,0.0
CONTINUITY,PROVENANCE_VALUE_SUBSTITUTION,80,4,0.0,1.0
PassThrough,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
ToolAllowlist,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
GatewayPolicy,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
ProvenanceGateway,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
EffectBoundPermit,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
Gateway+Finality,UNTRUSTED_ROOT_PRODUCER,80,4,1.0,0.0
CONTINUITY,UNTRUSTED_ROOT_PRODUCER,80,4,0.0,1.0
PassThrough,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
ToolAllowlist,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
GatewayPolicy,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
ProvenanceGateway,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
EffectBoundPermit,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
Gateway+Finality,ROOT_AUTHORITY_EXCEEDED,80,4,1.0,0.0
CONTINUITY,ROOT_AUTHORITY_EXCEEDED,80,4,0.0,1.0
PassThrough,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
ToolAllowlist,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
GatewayPolicy,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
ProvenanceGateway,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
EffectBoundPermit,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
Gateway+Finality,ROOT_SCOPE_EXCEEDED,80,4,1.0,0.0
CONTINUITY,ROOT_SCOPE_EXCEEDED,80,4,0.0,1.0
PassThrough,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
ToolAllowlist,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
GatewayPolicy,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
ProvenanceGateway,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
EffectBoundPermit,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
Gateway+Finality,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,1.0,0.0
CONTINUITY,ROOT_FIELD_CONSTRAINT_BYPASS,80,4,0.0,1.0
PassThrough,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
ToolAllowlist,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
GatewayPolicy,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
ProvenanceGateway,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
EffectBoundPermit,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
Gateway+Finality,PRINCIPAL_SUBSTITUTION,80,4,1.0,0.0
CONTINUITY,PRINCIPAL_SUBSTITUTION,80,4,0.0,1.0
PassThrough,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
ToolAllowlist,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
GatewayPolicy,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
ProvenanceGateway,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
EffectBoundPermit,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
Gateway+Finality,AUTHORITY_AMPLIFICATION,80,4,1.0,0.0
CONTINUITY,AUTHORITY_AMPLIFICATION,80,4,0.0,1.0
PassThrough,DELEGATION_WIDENING,80,4,1.0,0.0
ToolAllowlist,DELEGATION_WIDENING,80,4,1.0,0.0
GatewayPolicy,DELEGATION_WIDENING,80,4,1.0,0.0
ProvenanceGateway,DELEGATION_WIDENING,80,4,1.0,0.0
